Day,Cash On Hand
11,592916
12,119913
13,644328
14,490165
15,496139
16,593650
17,478625
18,1903973
19,1997246
20,3591142
21,3686762
22,4760858
23,5558552
24,6687105
25,5157547
26,5834026
27,5920919
28,7391998
29,7326015
30,10997513
31,11210086
32,10723652
33,13604012
34,17435754
35,19553464
36,21296495
37,21748409
38,22774910
39,24100523
40,25113247
41,25828300
42,26634517
43,27762329
44,29949195
45,33787509
46,34963017
47,36839051
48,37780933
49,38470852
50,40738294
51,41509170
52,42086732
53,45173605
54,47802145
55,49234228
56,51326605
57,52397342
58,53781450
59,54163599
60,54997580
61,55854162
62,58230736
63,59012656
64,59950765
65,64345051
66,65660936
67,66799622
68,66969327
69,67900392
70,73118240
71,77793023
72,82798745
73,86073122
74,85764046
75,86640374
76,87591902
77,88272318
78,90238814
79,90651464
80,91679601
81,92852419
82,93872611
83,96400185
84,102211775
85,109691545
86,111297549
87,112551113
88,114281919
89,115409132
90,116325929
